time_s,event,communication_mode,control_algorithm,count,delay_s,deliver_time_s,hop,link_type,origin_id,packet_size_bytes,protocol,receiver,sender,speed_mps,tx_delay_s,vehicle,vehicle_a,vehicle_b
0.0,v2i_auto_rsus_created,,,20,,,,,,,,,,,,,,
25.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
25.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
25.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
25.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
25.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
25.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
25.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
25.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
25.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
25.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
26.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
27.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
28.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
29.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
30.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
31.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
32.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
33.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
34.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
35.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
36.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
37.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
38.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
38.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
38.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
