time_s,vehicle_id,x_m,y_m,speed_mps,lane_id,edge_id,warning_received
1.0,1,640.0,464.17,0.0,1019648679_0,1019648679,False
1.1,1,640.0159215891866,464.14945004186376,0.26,:6789351757_4_0,:6789351757_4,False
1.2,1,640.046719890693,464.1096987457334,0.5029371313238516,:6789351757_4_0,:6789351757_4,False
1.3,1,640.0913146369461,464.0521404104534,0.728233462743336,:6789351757_4_0,:6789351757_4,False
1.4,1,640.148941615771,463.97776140290017,0.9410501878190843,:6789351757_4_0,:6789351757_4,False
1.5,1,640.2214849033692,463.88412995030257,1.184633930343784,:6789351757_4_0,:6789351757_4,False
1.6,1,640.305655358705,463.77549133934576,1.374505907089865,:6789351757_4_0,:6789351757_4,False
1.7,1,640.4028121112993,463.65009134471825,1.5865725072011492,:6789351757_4_0,:6789351757_4,False
1.8,1,640.5153373180771,463.50485532201685,1.8375397970130214,:6789351757_4_0,:6789351757_4,False
1.9,1,640.6401582895062,463.3437491844746,2.0383299801981414,:6789351757_4_0,:6789351757_4,False
2.0,1,640.7792066973597,463.1642797278265,2.2706644178561426,:6789351757_4_0,:6789351757_4,False
2.0,2,573.9160646521434,351.7110049191848,0.0,466112794#6_0,466112794#6,False
2.1,1,640.866413623636,462.94695988341425,2.4517454638409455,:6789351757_4_0,:6789351757_4,False
2.1,2,573.9327384906845,351.73068838860434,0.25799426144268367,466112794#6_0,466112794#6,False
2.2,1,640.8811328347773,462.68753378705145,2.5988220055944313,:6789351757_4_0,:6789351757_4,False
2.2,2,573.9658887188922,351.76982223901115,0.5129333969504691,466112794#6_0,466112794#6,False
2.3,1,640.8966406355992,462.4142087975649,2.7380552971161,:6789351757_4_0,:6789351757_4,False
2.3,2,574.0155084745913,351.82839836960636,0.7677663540406287,466112794#6_0,466112794#6,False
2.4,1,640.9132179383282,462.12203383696504,2.926886414807106,:6789351757_4_0,:6789351757_4,False
2.4,2,574.0810291352334,351.9057455213683,1.0138010158783484,466112794#6_0,466112794#6,False
2.5,1,640.9312316410216,461.80454232699657,3.1804970057502415,:6789351757_4_0,:6789351757_4,False
2.5,2,574.1618603744843,352.00116681395264,1.2507015598478746,466112794#6_0,466112794#6,False
2.6,1,640.8715184283689,461.4836876117527,3.347007077425535,:6789351757_4_0,:6789351757_4,False
2.6,2,574.2582801011304,352.114990318732,1.4919021857634711,466112794#6_0,466112794#6,False
2.7,1,640.7378234603136,461.15899983219026,3.5118854278286946,:6789351757_4_0,:6789351757_4,False
2.7,2,574.3676587508439,352.244111834541,1.6924155695076972,466112794#6_0,466112794#6,False
2.8,1,640.5988116931925,460.8213998263245,3.6515465492180574,:6789351757_4_0,:6789351757_4,False
2.8,2,574.4917781200847,352.39063477242337,1.9204986853543158,466112794#6_0,466112794#6,False
2.9,1,640.4520900323778,460.46507579291733,3.8540692298121773,:6789351757_4_0,:6789351757_4,False
2.9,2,574.6313308335149,352.55537677591803,2.1592987808370516,466112794#6_0,466112794#6,False
3.0,1,640.2985240858865,460.09212992286706,4.033854209613802,:6789351757_4_0,:6789351757_4,False
3.0,2,574.7806132923753,352.73160474565645,2.3098471071949325,466112794#6_0,466112794#6,False
3.0,3,592.4,424.54,0.0,724060394#1_0,724060394#1,False
3.1,1,640.0774906987311,459.7318667097062,4.257847628261244,:6789351757_4_0,:6789351757_4,False
3.1,2,574.9446130926729,352.9252065396287,2.537568493913012,466112794#6_0,466112794#6,False
